可发现物品,分类 3,分类1,分类2,分类（英文）,可发现物品（英文）,基础热议度,子分类,子分类 (关联）,展品主题,展品简介,所在地图,"所有特性 ",探索地图（汇总）,探索点,探索点溯源,探索点（英文）,热议度上限,特性效果,特性（颜色）,特殊说明,知识
水龙,,,,Temperate Fish,Water Dragon,,温带鱼类,温带鱼类 (https://www.notion.so/1df2a3e2f9178005a2dff76fb0c79005?pvs=21),海洋,水龙,双点海,"海洋美景 (https://www.notion.so/1c92a3e2f9178009b449de1194a941d9?pvs=21), 生老病死 (https://www.notion.so/1df2a3e2f91780e38ab7d1f17aad5bff?pvs=21)",双点海,海藻林,海藻林 (https://www.notion.so/1b52a3e2f9178111b751e59bfb0a6613?pvs=21),Gulfweed Grove,,"漂亮的鱼会让人联想到碧波荡漾的大海，从而提升环境值,健康度降至0%时会死亡/枯萎","海洋美景,生老病死",单位1、繁殖率3,
水母,,,,Coldwater Fish,Jellyfish,,冷水鱼类,冷水鱼类 (https://www.notion.so/1df2a3e2f91780d7bcfdd178eeacc070?pvs=21),海洋,水母,双点海,自带晚餐 (https://www.notion.so/1c92a3e2f917807c8ec6c9ab1d0db05e?pvs=21),双点海,凝胶峡谷,凝胶峡谷 (https://www.notion.so/1b52a3e2f91781ddbf28c2589c59b2d8?pvs=21),Gelatinous Gorge,,自动觅食，不需要投放器,自带晚餐,单位2、繁殖率2,
海滩猫头鹰,,,,Coldwater Fish,Beach Owl,,冷水鱼类,冷水鱼类 (https://www.notion.so/1df2a3e2f91780d7bcfdd178eeacc070?pvs=21),海洋,海滩猫头鹰,双点海,自带晚餐 (https://www.notion.so/1c92a3e2f917807c8ec6c9ab1d0db05e?pvs=21),双点海,凝胶峡谷,凝胶峡谷 (https://www.notion.so/1b52a3e2f91781ddbf28c2589c59b2d8?pvs=21),Gelatinous Gorge,,自动觅食，不需要投放器,自带晚餐,单位2、繁殖率2,
海洋水塞,,,,Wetlantean Artefacts,Ocean Plug,,湿特兰蒂斯文物,湿特兰蒂斯文物 (https://www.notion.so/1df2a3e2f91780d19b87ff79d48c2632?pvs=21),海洋,,双点海,"无聊 (https://www.notion.so/1d32a3e2f91780438b91ed33b7fcc22a?pvs=21), 有趣 (https://www.notion.so/1dc2a3e2f917806a9e9ad655e3947f18?pvs=21), 令人好奇的 (https://www.notion.so/1dc2a3e2f91780a19e54dee64355e893?pvs=21), 腹泻的幽默 (https://www.notion.so/1d32a3e2f917808fa76dfe9c83aba966?pvs=21), 望而生畏 (https://www.notion.so/1dc2a3e2f91780bf97e1d55267f23538?pvs=21)",双点海,湿特兰蒂斯中心区,湿特兰蒂斯中心区 (https://www.notion.so/1b52a3e2f9178189a0cfcc2d0cc91647?pvs=21),Downtown Wetlantis,,"减少访客的娱乐度,提升访客的娱乐度,提供的知识额外+1,好笑的惊吓方式，轻微影响肠胃舒适度,可对犯罪行动产生震慑效果","无聊,有趣,令人好奇的,腹泻的幽默,望而生畏",,
湿特兰蒂斯马赛克瓷砖,,,,Wetlantean Artefacts,Wetlantean Mosaic,,湿特兰蒂斯文物,湿特兰蒂斯文物 (https://www.notion.so/1df2a3e2f91780d19b87ff79d48c2632?pvs=21),海洋,,双点海,"无聊 (https://www.notion.so/1d32a3e2f91780438b91ed33b7fcc22a?pvs=21), 有趣 (https://www.notion.so/1dc2a3e2f917806a9e9ad655e3947f18?pvs=21), 令人好奇的 (https://www.notion.so/1dc2a3e2f91780a19e54dee64355e893?pvs=21), 腹泻的幽默 (https://www.notion.so/1d32a3e2f917808fa76dfe9c83aba966?pvs=21), 望而生畏 (https://www.notion.so/1dc2a3e2f91780bf97e1d55267f23538?pvs=21)",双点海,湿特兰蒂斯中心区,湿特兰蒂斯中心区 (https://www.notion.so/1b52a3e2f9178189a0cfcc2d0cc91647?pvs=21),Downtown Wetlantis,,"减少访客的娱乐度,提升访客的娱乐度,提供的知识额外+1,好笑的惊吓方式，轻微影响肠胃舒适度,可对犯罪行动产生震慑效果","无聊,有趣,令人好奇的,腹泻的幽默,望而生畏",,
珊瑚剧场废墟,,,,Wetlantean Ruins,Coralsseum Ruins,,湿特兰蒂斯废墟,湿特兰蒂斯废墟 (https://www.notion.so/1df2a3e2f91780ecaab6ebfe9d21064a?pvs=21),海洋,珊瑚剧场废墟,双点海,"无聊 (https://www.notion.so/1d32a3e2f91780438b91ed33b7fcc22a?pvs=21), 有趣 (https://www.notion.so/1dc2a3e2f917806a9e9ad655e3947f18?pvs=21), 令人好奇的 (https://www.notion.so/1dc2a3e2f91780a19e54dee64355e893?pvs=21), 腹泻的幽默 (https://www.notion.so/1d32a3e2f917808fa76dfe9c83aba966?pvs=21), 望而生畏 (https://www.notion.so/1dc2a3e2f91780bf97e1d55267f23538?pvs=21), 室外用品 (https://www.notion.so/1df2a3e2f91780428bb0e33f153f0b43?pvs=21)",双点海,湿特兰蒂斯中心区,湿特兰蒂斯中心区 (https://www.notion.so/1b52a3e2f9178189a0cfcc2d0cc91647?pvs=21),Downtown Wetlantis,,"减少访客的娱乐度,提升访客的娱乐度,提供的知识额外+1,好笑的惊吓方式，轻微影响肠胃舒适度,可对犯罪行动产生震慑效果,必须放在室外","无聊,有趣,令人好奇的,腹泻的幽默,望而生畏,室外用品",,
雕像废墟,,,,Wetlantean Ruins,Statue Ruins,,湿特兰蒂斯废墟,湿特兰蒂斯废墟 (https://www.notion.so/1df2a3e2f91780ecaab6ebfe9d21064a?pvs=21),海洋,雕像废墟,双点海,"无聊 (https://www.notion.so/1d32a3e2f91780438b91ed33b7fcc22a?pvs=21), 有趣 (https://www.notion.so/1dc2a3e2f917806a9e9ad655e3947f18?pvs=21), 令人好奇的 (https://www.notion.so/1dc2a3e2f91780a19e54dee64355e893?pvs=21), 腹泻的幽默 (https://www.notion.so/1d32a3e2f917808fa76dfe9c83aba966?pvs=21), 望而生畏 (https://www.notion.so/1dc2a3e2f91780bf97e1d55267f23538?pvs=21), 室外用品 (https://www.notion.so/1df2a3e2f91780428bb0e33f153f0b43?pvs=21)",双点海,湿特兰蒂斯中心区,湿特兰蒂斯中心区 (https://www.notion.so/1b52a3e2f9178189a0cfcc2d0cc91647?pvs=21),Downtown Wetlantis,,"减少访客的娱乐度,提升访客的娱乐度,提供的知识额外+1,好笑的惊吓方式，轻微影响肠胃舒适度,可对犯罪行动产生震慑效果,必须放在室外","无聊,有趣,令人好奇的,腹泻的幽默,望而生畏,室外用品",,
熔岩灯,,,,Ancient Inventions,Lava Lamp,,古代发明,古代发明 (https://www.notion.so/1df2a3e2f91780e8b7ccee59e68600fc?pvs=21),史前,熔岩灯,"双点海, 白骨带","望而生畏 (https://www.notion.so/1dc2a3e2f91780bf97e1d55267f23538?pvs=21), 有趣 (https://www.notion.so/1dc2a3e2f917806a9e9ad655e3947f18?pvs=21), 令人好奇的 (https://www.notion.so/1dc2a3e2f91780a19e54dee64355e893?pvs=21)","双点海,白骨带","火山温泉, 蛮荒峭壁","火山喷泉 (https://www.notion.so/1b52a3e2f91781d8b413ea1549055294?pvs=21), 荒蛮峭壁 (https://www.notion.so/1c02a3e2f917806f8a49dd813b9d50f2?pvs=21)",Volcanic Springs,,"可对犯罪行动产生震慑效果,提升访客的娱乐度,提供的知识额外+1","望而生畏,有趣,令人好奇的",,
脆脆鱼,,,,Tropical Fish,Battercuda,,热带鱼类,热带鱼类 (https://www.notion.so/1df2a3e2f9178001bbdad1268c0b2f9f?pvs=21),海洋,脆脆鱼,双点海,"食用级品质 (https://www.notion.so/1c92a3e2f917808cac36fe60a45ad4c7?pvs=21), 生老病死 (https://www.notion.so/1df2a3e2f91780e38ab7d1f17aad5bff?pvs=21)",双点海,火山温泉,火山喷泉 (https://www.notion.so/1b52a3e2f91781d8b413ea1549055294?pvs=21),Volcanic Springs,,"死亡不会降低售价,健康度降至0%时会死亡/枯萎","食用级品质,生老病死",单位2、繁殖率2,
光谱鲟,,,,Tropical Fish,Spectrum Sturgeon,,热带鱼类,热带鱼类 (https://www.notion.so/1df2a3e2f9178001bbdad1268c0b2f9f?pvs=21),海洋,光谱鲟,双点海,"海味珍馐 (https://www.notion.so/1c92a3e2f917805bb664c444eac20a92?pvs=21), 收藏家之选 (https://www.notion.so/1c92a3e2f91780729913db8bd0756ca3?pvs=21), 生老病死 (https://www.notion.so/1df2a3e2f91780e38ab7d1f17aad5bff?pvs=21)",双点海,浸水岩洞,浸水岩洞 (https://www.notion.so/1b52a3e2f9178190a74ad68f0c67e2d9?pvs=21),Soggy Grotto,,"偶尔会产出彩虹鱼子酱，员工会进行收集并出售,珍贵的个体，必将升值,健康度降至0%时会死亡/枯萎","海味珍馐,收藏家之选,生老病死",单位2、繁殖率1,
热水气球,,,,Wetlantean Artefacts,Hot Water Balloon,,湿特兰蒂斯文物,湿特兰蒂斯文物 (https://www.notion.so/1df2a3e2f91780d19b87ff79d48c2632?pvs=21),海洋,,双点海,"无聊 (https://www.notion.so/1d32a3e2f91780438b91ed33b7fcc22a?pvs=21), 有趣 (https://www.notion.so/1dc2a3e2f917806a9e9ad655e3947f18?pvs=21), 令人好奇的 (https://www.notion.so/1dc2a3e2f91780a19e54dee64355e893?pvs=21), 腹泻的幽默 (https://www.notion.so/1d32a3e2f917808fa76dfe9c83aba966?pvs=21), 望而生畏 (https://www.notion.so/1dc2a3e2f91780bf97e1d55267f23538?pvs=21)",双点海,湿特兰蒂斯上城区,湿特兰蒂斯上城区 (https://www.notion.so/1b52a3e2f917814eb65af327f0811ef9?pvs=21),Uptown Wetlantis,,"减少访客的娱乐度,提升访客的娱乐度,提供的知识额外+1,好笑的惊吓方式，轻微影响肠胃舒适度,可对犯罪行动产生震慑效果","无聊,有趣,令人好奇的,腹泻的幽默,望而生畏",,
集会所废墟,,,,Wetlantean Ruins,Forum Ruins,,湿特兰蒂斯废墟,湿特兰蒂斯废墟 (https://www.notion.so/1df2a3e2f91780ecaab6ebfe9d21064a?pvs=21),海洋,集会所废墟,双点海,"无聊 (https://www.notion.so/1d32a3e2f91780438b91ed33b7fcc22a?pvs=21), 有趣 (https://www.notion.so/1dc2a3e2f917806a9e9ad655e3947f18?pvs=21), 令人好奇的 (https://www.notion.so/1dc2a3e2f91780a19e54dee64355e893?pvs=21), 腹泻的幽默 (https://www.notion.so/1d32a3e2f917808fa76dfe9c83aba966?pvs=21), 望而生畏 (https://www.notion.so/1dc2a3e2f91780bf97e1d55267f23538?pvs=21), 室外用品 (https://www.notion.so/1df2a3e2f91780428bb0e33f153f0b43?pvs=21)",双点海,湿特兰蒂斯上城区,湿特兰蒂斯上城区 (https://www.notion.so/1b52a3e2f917814eb65af327f0811ef9?pvs=21),Uptown Wetlantis,,"减少访客的娱乐度,提升访客的娱乐度,提供的知识额外+1,好笑的惊吓方式，轻微影响肠胃舒适度,可对犯罪行动产生震慑效果,必须放在室外","无聊,有趣,令人好奇的,腹泻的幽默,望而生畏,室外用品",,
大门废墟,,,,Wetlantean Ruins,Archway Ruins,,湿特兰蒂斯废墟,湿特兰蒂斯废墟 (https://www.notion.so/1df2a3e2f91780ecaab6ebfe9d21064a?pvs=21),海洋,大门废墟,双点海,"无聊 (https://www.notion.so/1d32a3e2f91780438b91ed33b7fcc22a?pvs=21), 有趣 (https://www.notion.so/1dc2a3e2f917806a9e9ad655e3947f18?pvs=21), 令人好奇的 (https://www.notion.so/1dc2a3e2f91780a19e54dee64355e893?pvs=21), 腹泻的幽默 (https://www.notion.so/1d32a3e2f917808fa76dfe9c83aba966?pvs=21), 望而生畏 (https://www.notion.so/1dc2a3e2f91780bf97e1d55267f23538?pvs=21), 室外用品 (https://www.notion.so/1df2a3e2f91780428bb0e33f153f0b43?pvs=21)",双点海,湿特兰蒂斯上城区,湿特兰蒂斯上城区 (https://www.notion.so/1b52a3e2f917814eb65af327f0811ef9?pvs=21),Uptown Wetlantis,,"减少访客的娱乐度,提升访客的娱乐度,提供的知识额外+1,好笑的惊吓方式，轻微影响肠胃舒适度,可对犯罪行动产生震慑效果,必须放在室外","无聊,有趣,令人好奇的,腹泻的幽默,望而生畏,室外用品",,
蜘蛛蟹,,,,Coldwater Fish,Spider Crab,,冷水鱼类,冷水鱼类 (https://www.notion.so/1df2a3e2f91780d7bcfdd178eeacc070?pvs=21),海洋,蜘蛛蟹,"冥界, 双点海",浑水之鱼 (https://www.notion.so/1c92a3e2f91780ec8cd5e737daff9df5?pvs=21),"双点海,冥界","冰点洞穴, 墓地浅滩, 极暗深渊","冰点洞穴 (https://www.notion.so/1b52a3e2f9178119be58db3a0fa4ac18?pvs=21), 墓地浅滩 (https://www.notion.so/1b52a3e2f917812da281cd4ec9fa88d9?pvs=21), 极暗深渊 (https://www.notion.so/1c12a3e2f9178047a091d976c132c060?pvs=21)",Coldspot Cave,,弄脏水族箱的速度更快，十分考验过滤能力,浑水之鱼,单位1、繁殖率2,
豹鲨,,,,Coldwater Fish,Leopard Shark,,冷水鱼类,冷水鱼类 (https://www.notion.so/1df2a3e2f91780d7bcfdd178eeacc070?pvs=21),海洋,豹鲨,双点海,"海鲜主义者 (https://www.notion.so/1c92a3e2f91780fdad7dd6287d938cad?pvs=21), 水中恶霸 (https://www.notion.so/1c92a3e2f91780b4abb1fbc87049f444?pvs=21), 生老病死 (https://www.notion.so/1df2a3e2f91780e38ab7d1f17aad5bff?pvs=21)",双点海,冰点洞穴,冰点洞穴 (https://www.notion.so/1b52a3e2f9178119be58db3a0fa4ac18?pvs=21),Coldspot Cave,,"偶尔会吃掉其他更小的鱼，慎重为其安排住处,吓得人完全不敢靠近水,健康度降至0%时会死亡/枯萎","海鲜主义者,水中恶霸,生老病死",单位3、繁殖率1,
手握寿司鱼,,,,Coldwater Fish,Nigiri Fish,,冷水鱼类,冷水鱼类 (https://www.notion.so/1df2a3e2f91780d7bcfdd178eeacc070?pvs=21),海洋,手握寿司鱼,双点海,"食用级品质 (https://www.notion.so/1c92a3e2f917808cac36fe60a45ad4c7?pvs=21), 生老病死 (https://www.notion.so/1df2a3e2f91780e38ab7d1f17aad5bff?pvs=21)",双点海,麻木沉渊,麻木沉渊 (https://www.notion.so/1b52a3e2f9178158ba61dad1940150b8?pvs=21),Numb Drop,,"死亡不会降低售价,健康度降至0%时会死亡/枯萎","食用级品质,生老病死",单位1、繁殖率3,
抹布鱼,,,,Coldwater Fish,Wet Wiper,,冷水鱼类,冷水鱼类 (https://www.notion.so/1df2a3e2f91780d7bcfdd178eeacc070?pvs=21),海洋,抹布鱼,双点海,"清理大师 (https://www.notion.so/1c92a3e2f91780da954ac5cb6f674b81?pvs=21), 自带晚餐 (https://www.notion.so/1c92a3e2f917807c8ec6c9ab1d0db05e?pvs=21), 生老病死 (https://www.notion.so/1df2a3e2f91780e38ab7d1f17aad5bff?pvs=21)",双点海,麻木沉渊,麻木沉渊 (https://www.notion.so/1b52a3e2f9178158ba61dad1940150b8?pvs=21),Numb Drop,,"协助清理水族箱，提供更多过滤能力,自动觅食，不需要投放器,健康度降至0%时会死亡/枯萎","清理大师,自带晚餐,生老病死",单位1、繁殖率2,
珊瑚头冠,,,,Wetlantean Artefacts,Coral Coronet,,湿特兰蒂斯文物,湿特兰蒂斯文物 (https://www.notion.so/1df2a3e2f91780d19b87ff79d48c2632?pvs=21),海洋,,双点海,"无聊 (https://www.notion.so/1d32a3e2f91780438b91ed33b7fcc22a?pvs=21), 有趣 (https://www.notion.so/1dc2a3e2f917806a9e9ad655e3947f18?pvs=21), 令人好奇的 (https://www.notion.so/1dc2a3e2f91780a19e54dee64355e893?pvs=21), 腹泻的幽默 (https://www.notion.so/1d32a3e2f917808fa76dfe9c83aba966?pvs=21), 望而生畏 (https://www.notion.so/1dc2a3e2f91780bf97e1d55267f23538?pvs=21)",双点海,湿特兰蒂斯藏宝所,湿特兰蒂斯藏宝所 (https://www.notion.so/1b82a3e2f917802cb54cfc2f3ac3502d?pvs=21),Wetlantean Treasure Trove,,"减少访客的娱乐度,提升访客的娱乐度,提供的知识额外+1,好笑的惊吓方式，轻微影响肠胃舒适度,可对犯罪行动产生震慑效果","无聊,有趣,令人好奇的,腹泻的幽默,望而生畏",,
黄金鱼,,,,Temperate Fish,Goldfish,,温带鱼类,温带鱼类 (https://www.notion.so/1df2a3e2f9178005a2dff76fb0c79005?pvs=21),海洋,黄金鱼,双点海,"收藏家之选 (https://www.notion.so/1c92a3e2f91780729913db8bd0756ca3?pvs=21), 生老病死 (https://www.notion.so/1df2a3e2f91780e38ab7d1f17aad5bff?pvs=21)",双点海,湿特兰蒂斯藏宝所,湿特兰蒂斯藏宝所 (https://www.notion.so/1b82a3e2f917802cb54cfc2f3ac3502d?pvs=21),Wetlantean Treasure Trove,,"珍贵的个体，必将升值,健康度降至0%时会死亡/枯萎","收藏家之选,生老病死",单位2、繁殖率1,
湿特兰蒂斯餐具,,,,Wetlantean Artefacts,Wetlantean Cutlery,,湿特兰蒂斯文物,湿特兰蒂斯文物 (https://www.notion.so/1df2a3e2f91780d19b87ff79d48c2632?pvs=21),海洋,,双点海,"无聊 (https://www.notion.so/1d32a3e2f91780438b91ed33b7fcc22a?pvs=21), 有趣 (https://www.notion.so/1dc2a3e2f917806a9e9ad655e3947f18?pvs=21), 令人好奇的 (https://www.notion.so/1dc2a3e2f91780a19e54dee64355e893?pvs=21), 腹泻的幽默 (https://www.notion.so/1d32a3e2f917808fa76dfe9c83aba966?pvs=21), 望而生畏 (https://www.notion.so/1dc2a3e2f91780bf97e1d55267f23538?pvs=21)",双点海,湿特兰蒂斯墓穴,湿特兰蒂斯墓穴 (https://www.notion.so/1b52a3e2f91781a981cfdab86ca96092?pvs=21),Wetlantean Catacombs,,"减少访客的娱乐度,提升访客的娱乐度,提供的知识额外+1,好笑的惊吓方式，轻微影响肠胃舒适度,可对犯罪行动产生震慑效果","无聊,有趣,令人好奇的,腹泻的幽默,望而生畏",,
珍珠之母,,,,Wetlantean Artefacts,Mother of All Pearls,,湿特兰蒂斯文物,湿特兰蒂斯文物 (https://www.notion.so/1df2a3e2f91780d19b87ff79d48c2632?pvs=21),海洋,,双点海,"无聊 (https://www.notion.so/1d32a3e2f91780438b91ed33b7fcc22a?pvs=21), 有趣 (https://www.notion.so/1dc2a3e2f917806a9e9ad655e3947f18?pvs=21), 令人好奇的 (https://www.notion.so/1dc2a3e2f91780a19e54dee64355e893?pvs=21), 腹泻的幽默 (https://www.notion.so/1d32a3e2f917808fa76dfe9c83aba966?pvs=21), 望而生畏 (https://www.notion.so/1dc2a3e2f91780bf97e1d55267f23538?pvs=21)",双点海,湿特兰蒂斯墓穴,湿特兰蒂斯墓穴 (https://www.notion.so/1b52a3e2f91781a981cfdab86ca96092?pvs=21),Wetlantean Catacombs,,"减少访客的娱乐度,提升访客的娱乐度,提供的知识额外+1,好笑的惊吓方式，轻微影响肠胃舒适度,可对犯罪行动产生震慑效果","无聊,有趣,令人好奇的,腹泻的幽默,望而生畏",,
潜水盔甲,,,,Wetlantean Artefacts,Wetsuit of Armor,,湿特兰蒂斯文物,湿特兰蒂斯文物 (https://www.notion.so/1df2a3e2f91780d19b87ff79d48c2632?pvs=21),海洋,潜水盔甲,双点海,"无聊 (https://www.notion.so/1d32a3e2f91780438b91ed33b7fcc22a?pvs=21), 有趣 (https://www.notion.so/1dc2a3e2f917806a9e9ad655e3947f18?pvs=21), 令人好奇的 (https://www.notion.so/1dc2a3e2f91780a19e54dee64355e893?pvs=21), 腹泻的幽默 (https://www.notion.so/1d32a3e2f917808fa76dfe9c83aba966?pvs=21), 望而生畏 (https://www.notion.so/1dc2a3e2f91780bf97e1d55267f23538?pvs=21)",双点海,湿特兰蒂斯荒野,湿特兰蒂斯荒野 (https://www.notion.so/1b52a3e2f91781dc88c6d75bd7205845?pvs=21),Wetlantean Outskirts,,"减少访客的娱乐度,提升访客的娱乐度,提供的知识额外+1,好笑的惊吓方式，轻微影响肠胃舒适度,可对犯罪行动产生震慑效果","无聊,有趣,令人好奇的,腹泻的幽默,望而生畏",,
贝壳号角,,,,Wetlantean Artefacts,Conch Horn,,湿特兰蒂斯文物,湿特兰蒂斯文物 (https://www.notion.so/1df2a3e2f91780d19b87ff79d48c2632?pvs=21),海洋,,双点海,"无聊 (https://www.notion.so/1d32a3e2f91780438b91ed33b7fcc22a?pvs=21), 有趣 (https://www.notion.so/1dc2a3e2f917806a9e9ad655e3947f18?pvs=21), 令人好奇的 (https://www.notion.so/1dc2a3e2f91780a19e54dee64355e893?pvs=21), 腹泻的幽默 (https://www.notion.so/1d32a3e2f917808fa76dfe9c83aba966?pvs=21), 望而生畏 (https://www.notion.so/1dc2a3e2f91780bf97e1d55267f23538?pvs=21)",双点海,湿特兰蒂斯荒野,湿特兰蒂斯荒野 (https://www.notion.so/1b52a3e2f91781dc88c6d75bd7205845?pvs=21),Wetlantean Outskirts,,"减少访客的娱乐度,提升访客的娱乐度,提供的知识额外+1,好笑的惊吓方式，轻微影响肠胃舒适度,可对犯罪行动产生震慑效果","无聊,有趣,令人好奇的,腹泻的幽默,望而生畏",,
礁湖人,,,,Sea Monsters,Lagoonian Creature,,海怪,海怪 (https://www.notion.so/1df2a3e2f91780ee89b1f424e6b96d48?pvs=21),海洋,礁湖人,双点海,"脚底抹油 (https://www.notion.so/1c92a3e2f917803bbc07eed925cf4ce7?pvs=21), 生物的悲泣 (https://www.notion.so/1c92a3e2f91780fda3eeca9edb253605?pvs=21)",双点海,贪食洞窟,贪食洞窟 (https://www.notion.so/1b52a3e2f91781f7a6e4db7d1fa1ca50?pvs=21),Ravenous Cavern,,"健康度将至0%时会逃离博物馆,初级员工进入水族箱后，幸福感将会减少","脚底抹油,生物的悲泣",,
闪电鱼,,,,Sea Monsters,Zapper,,海怪,海怪 (https://www.notion.so/1df2a3e2f91780ee89b1f424e6b96d48?pvs=21),海洋,闪电鱼,双点海,"吸取能量 (https://www.notion.so/1c92a3e2f91780bea740e95b2cd99679?pvs=21), 生老病死 (https://www.notion.so/1df2a3e2f91780e38ab7d1f17aad5bff?pvs=21)",双点海,昏暗浊海,昏暗浊海 (https://www.notion.so/1b52a3e2f91781058b5af2ce6d9ce5f0?pvs=21),Murky Middlesea,,"员工进入水族箱后，能量将会减少,健康度降至0%时会死亡/枯萎","吸取能量,生老病死",单位3、繁殖率2,
猛虎鲨,,,,Sea Monsters,Tiger Shark,,热带鱼类,热带鱼类 (https://www.notion.so/1df2a3e2f9178001bbdad1268c0b2f9f?pvs=21),海洋,猛虎鲨,双点海,"海鲜主义者 (https://www.notion.so/1c92a3e2f91780fdad7dd6287d938cad?pvs=21), 水中恶霸 (https://www.notion.so/1c92a3e2f91780b4abb1fbc87049f444?pvs=21), 生老病死 (https://www.notion.so/1df2a3e2f91780e38ab7d1f17aad5bff?pvs=21)",双点海,昏暗浊海,昏暗浊海 (https://www.notion.so/1b52a3e2f91781058b5af2ce6d9ce5f0?pvs=21),Murky Middlesea,,"偶尔会吃掉其他更小的鱼，慎重为其安排住处,吓得人完全不敢靠近水,健康度降至0%时会死亡/枯萎","海鲜主义者,水中恶霸,生老病死",单位3、繁殖率1,
蛮牛鲨,,,,Temperate Fish,Bull Shark,,温带鱼类,温带鱼类 (https://www.notion.so/1df2a3e2f9178005a2dff76fb0c79005?pvs=21),海洋,蛮牛鲨,双点海,"海鲜主义者 (https://www.notion.so/1c92a3e2f91780fdad7dd6287d938cad?pvs=21), 生老病死 (https://www.notion.so/1df2a3e2f91780e38ab7d1f17aad5bff?pvs=21)",双点海,潮汐山崖,潮汐山崖 (https://www.notion.so/1b52a3e2f91781d0b8b2c9cca6cb9f73?pvs=21),Tide Mountain,,"偶尔会吃掉其他更小的鱼，慎重为其安排住处,健康度降至0%时会死亡/枯萎","海鲜主义者,生老病死",单位3、繁殖率1,
抽象侧目鱼,,,,Temperate Fish,Painted Portside Fish,,温带鱼类,温带鱼类 (https://www.notion.so/1df2a3e2f9178005a2dff76fb0c79005?pvs=21),海洋,抽象侧目鱼,双点海,"浑水之鱼 (https://www.notion.so/1c92a3e2f91780ec8cd5e737daff9df5?pvs=21), 生老病死 (https://www.notion.so/1df2a3e2f91780e38ab7d1f17aad5bff?pvs=21)",双点海,"潮汐山崖, 贪食洞窟","潮汐山崖 (https://www.notion.so/1b52a3e2f91781d0b8b2c9cca6cb9f73?pvs=21), 贪食洞窟 (https://www.notion.so/1b52a3e2f91781f7a6e4db7d1fa1ca50?pvs=21)",Tide Mountain,,"弄脏水族箱的速度更快，十分考验过滤能力,健康度降至0%时会死亡/枯萎","浑水之鱼,生老病死",单位2、繁殖率2,
比什·西瓦臀,,,,Famous Spirits,Bish Silverbottom,,著名灵体,著名灵体 (https://www.notion.so/1df2a3e2f917804ab12fd821ea52dd40?pvs=21),超自然,比什·西瓦臀,双点海,"独一无二 (https://www.notion.so/1c32a3e2f91780b1ad73d1f892227b74?pvs=21), 保安 (https://www.notion.so/1df2a3e2f917807baaabc238b287ae58?pvs=21)",双点海,西瓦臀打捞点,西瓦臀打捞点 (https://www.notion.so/1b52a3e2f91781fd850bccc9a089a040?pvs=21),Silverbottom Salvage,,"世上仅此一个,让其他灵体的平静度降低得更慢","独一无二,保安",,
掠金船长,,,,Famous Spirits,Captain Dreadge,,著名灵体,著名灵体 (https://www.notion.so/1df2a3e2f917804ab12fd821ea52dd40?pvs=21),超自然,掠金船长,双点海,独一无二 (https://www.notion.so/1c32a3e2f91780b1ad73d1f892227b74?pvs=21),双点海,S.S.西瓦臀号,S.S.西瓦臀号 (https://www.notion.so/S-S-1b52a3e2f9178148956ee13c07c3fad8?pvs=21),S.S. Silverbottom,,世上仅此一个,独一无二,,
海盗,,,,Sunken Spirits,Pirate,,海滩灵体,海滩灵体 (https://www.notion.so/1df2a3e2f91780599c20f21bcaccef23?pvs=21),超自然,海盗,"冥界, 双点海","海上清洁员 (https://www.notion.so/1d32a3e2f91780e6ae94eec312d2ab24?pvs=21), 大副 (https://www.notion.so/1d32a3e2f917807092a6dfd2894abe0b?pvs=21), 船长 (https://www.notion.so/1dc2a3e2f9178032b5fafe64433eb3cd?pvs=21), 炮手 (https://www.notion.so/1dc2a3e2f9178001ac8bc99b99f8d60e?pvs=21), 捕鱼师 (https://www.notion.so/1dc2a3e2f91780208073f78dac958368?pvs=21), 民谣歌手 (https://www.notion.so/1dc2a3e2f91780f9b19bdb0e4c3e626d?pvs=21), 船上厨师 (https://www.notion.so/1dc2a3e2f91780779a3cf0d872b74374?pvs=21), 船医 (https://www.notion.so/1dc2a3e2f9178039ad6bc456ab014dfa?pvs=21)","双点海,冥界","S.S.西瓦臀号, 深谙瀑布","S.S.西瓦臀号 (https://www.notion.so/S-S-1b52a3e2f9178148956ee13c07c3fad8?pvs=21), 深谙瀑布 (https://www.notion.so/1b52a3e2f91781ae8979cd5fe1e79405?pvs=21)",S.S. Silverbottom,,"会清理其他人留下的垃圾,船长的左膀右臂,船舰首领，每个房间仅可存在一名,说话大声，像是吃了枪药,增加访客参观鱼类展示品时获得的热议度,用自己的音乐天赋提升访客的娱乐度,有几率会掉落食物给员工,有几率会治疗员工的伤病","海上清洁员,大副,船长,炮手,捕鱼师,民谣歌手,船上厨师,船医",,
狮头鱼,,,,Tropical Fish,Lionhead Fish,,热带鱼类,热带鱼类 (https://www.notion.so/1df2a3e2f9178001bbdad1268c0b2f9f?pvs=21),海洋,狮头鱼,双点海,"海鲜主义者 (https://www.notion.so/1c92a3e2f91780fdad7dd6287d938cad?pvs=21), 生老病死 (https://www.notion.so/1df2a3e2f91780e38ab7d1f17aad5bff?pvs=21)",双点海,海洋枢纽,海洋枢纽 (https://www.notion.so/1b52a3e2f91781b1bf28facab73abda6?pvs=21),Marina Junction,,"偶尔会吃掉其他更小的鱼，慎重为其安排住处,健康度降至0%时会死亡/枯萎","海鲜主义者,生老病死",单位2、繁殖率1,
